gene_id,gene_name,baseMean,log2FoldChange,lfcSE,pvalue,padj
SYNPO2,SYNPO2,9136.7091369103,1.762800518350938,0.09565688863831269,3.784921013206932e-77,2.749555870044176e-74
ADARB1,ADARB1,1929.996803798329,2.353582510955079,0.13206691548960237,9.587762573097331e-73,6.633362020215768e-70
DNAJB4,DNAJB4,1476.3994584240018,1.537605067886364,0.08653001364498648,8.668988118089196e-72,5.725078562168996e-69
CCDC69,CCDC69,2044.531240324354,2.8998122172448926,0.16731358359601464,1.0486105307644865e-69,6.624027131077054e-67
PRSS35,PRSS35,312.2016258173034,-2.7205422319376447,0.15598999717390444,2.357457129024686e-69,1.427145609483319e-66
SOX4,SOX4,1290.8802359531128,-2.3932200912932844,0.14345083676201706,1.7834039129965597e-64,1.0364430180770806e-61
ACSS1,ACSS1,609.8937015123576,1.8775080580090175,0.11184959966653767,1.9449787489009987e-64,1.0868690862608695e-61
CCKAR,CCKAR,1112.4626563805577,-2.1977176345579075,0.13265043360562465,4.33893059084295e-63,2.2514400912270434e-60
WNT2,WNT2,334.04786583591846,-3.069542093918799,0.18502818976111063,4.297381363774952e-63,2.2514400912270434e-60
TRNP1,TRNP1,1020.0350888912681,1.973601970260575,0.1203103733472159,8.243787241969173e-62,4.130137408226556e-59
INHBB,INHBB,410.04816918233377,3.436407011586365,0.2105996841546348,9.122628855408146e-62,4.4180891546741655e-59
