gene_id	gene_name	SRX384345	SRX384346	SRX384349	SRX384350	SRX384353	SRX384354	SRX384357	SRX384358
FLT4	FLT4	2	1	2	0	1	10	0	0
FLVCR1	FLVCR1	52	64	76	37	75.012	101.01	61	67.001
FLVCR1-AS1	FLVCR1-AS1	4	3	28	9	1	6	5	4
FLVCR2	FLVCR2	44	40	105	61	71	184	32	52
FLYWCH1	FLYWCH1	1251	1140.01	1412.614	764	927.416	917.319	1049.301	1201.147
FLYWCH2	FLYWCH2	334	368.169	408.1	210.268	327.651	474.681	287.077	309.015
FMN1	FMN1	828.953	552.87	2144.925	730.245	1324.952	1990.397	886.878	696.964
FMN2	FMN2	228	214	408.004	280	488.001	964	252.081	275
FMNL1	FMNL1	448	348	460	192.999	789	649	523.005	427.068
FMNL2	FMNL2	1211	1570.332	1428.079	1229.102	1571.581	2156.829	1450.893	2345.003
FMNL3	FMNL3	645.926	386.709	687.491	312.337	790.846	760.148	486.734	422.297
FMO1	FMO1	9	15	76	59	0	18	18	22
FMO2	FMO2	1547.002	1401	4650.064	3626.665	1164.432	3137.195	1301.309	2763.001
FMO3	FMO3	747	778.501	2113.915	1543.411	218	330	258	266.036
FMO4	FMO4	134.999	115	176	114.001	78	80.999	85.001	94
FMO5	FMO5	54.007	62.011	77.004	61	47.001	72.001	52	68.001
FMO6P	FMO6P	1	4	9	4	2	7	3	0
FMO9P	FMO9P	0	0	0	0	0	0	0	0
FMOD	FMOD	15971.045	11486.635	22545.231	10833.308	12845.618	17129.944	14745.296	14605.296
